상세URL,상품ID,상세innerURL,썸네일URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LE1203975515?sitmNo=LE1203975515_1221056376&mall_no=1&dp_infw_cd=CASec10200001,LE1203975515,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F97%2F55%2F15%2FDSCRP_LE1203975515,https://contents.lotteon.com/itemimage/_v023546/LE/12/03/97/55/15/_1/22/10/56/37/6/LE1203975515_1221056376_1.jpg/dims/resizemc/360x360,카운테스마라,20년가을(일반핏/슬림핏)구김없는 모달&스판소재 신상드레스셔츠15종,"29,640원"
https://www.lotteon.com/p/product/LO1319926916?sitmNo=LO1319926916_1319926917&mall_no=1&dp_infw_cd=CASec10200001,LO1319926916,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F19%2F92%2F69%2F16%2FDSCRP_LO1319926916,https://contents.lotteon.com/itemimage/_v174616/LO/13/19/92/69/16/_1/31/99/26/91/7/LO1319926916_1319926917_1.jpg/dims/resizemc/360x360,타미힐피거,남녀공용 스몰로고 베이직 맨투맨,"34,470원"
https://www.lotteon.com/p/product/LE1205414317?sitmNo=LE1205414317_1229626266&mall_no=1&dp_infw_cd=CASec10200001,LE1205414317,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F41%2F43%2F17%2FDSCRP_LE1205414317,https://contents.lotteon.com/itemimage/_v033939/LE/12/05/41/43/17/_1/22/96/26/26/6/LE1205414317_1229626266_1.jpg/dims/resizemc/360x360,올젠,하이넥 패딩 코트ZPA3CP1501,"60,800원"
https://www.lotteon.com/p/product/LE1205760077?sitmNo=LE1205760077_1231599299&mall_no=1&dp_infw_cd=CASec10200001,LE1205760077,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F76%2F00%2F77%2FDSCRP_LE1205760077,https://contents.lotteon.com/itemimage/_v201117/LE/12/05/76/00/77/_1/23/15/99/29/9/LE1205760077_1231599299_1.jpg/dims/resizemc/360x360,노스페이스화이트라벨,공용 리모 플리스 후드 자켓 NJ4FL53,"116,610원"
https://www.lotteon.com/p/product/LE1203490655?sitmNo=LE1203490655_1218252351&mall_no=1&dp_infw_cd=CASec10200001,LE1203490655,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F49%2F06%2F55%2FDSCRP_LE1203490655,https://contents.lotteon.com/itemimage/_v014553/LE/12/03/49/06/55/_1/21/82/52/35/1/LE1203490655_1218252351_1.jpg/dims/resizemc/360x360,폴햄,공용_사계절 긴팔 라운드 티셔츠(PHA5TR3930),"7,530원"
https://www.lotteon.com/p/product/LO1001416261?sitmNo=LO1001416261_1001416263&mall_no=1&dp_infw_cd=CASec10200001,LO1001416261,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F01%2F41%2F62%2F61%2FDSCRP_LO1001416261,https://contents.lotteon.com/itemimage/LO/10/01/41/62/61/_1/00/14/16/26/3/LO1001416261_1001416263_1.jpg/dims/resizemc/360x360,칼하트,"Carhartt 써멀후드집업 100632, 104078外 4종","91,110원"
https://www.lotteon.com/p/product/LO1047913134?sitmNo=LO1047913134_1047913135&mall_no=1&dp_infw_cd=CASec10200001,LO1047913134,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F10%2F47%2F91%2F31%2F34%2FDSCRP_LO1047913134,https://contents.lotteon.com/itemimage/LO/10/47/91/31/34/_1/04/79/13/13/5/LO1047913134_1047913135_1.jpg/dims/resizemc/360x360,몽블랑,[쇼핑백증정] 엠블럼 사피아노 리버서블 레더 벨트 113834,"163,800원"
https://www.lotteon.com/p/product/LO1357685018?sitmNo=LO1357685018_1357685019&mall_no=1&dp_infw_cd=CASec10200001,LO1357685018,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F57%2F68%2F50%2F18%2FDSCRP_LO1357685018,https://contents.lotteon.com/itemimage/_v172724/LO/13/57/68/50/18/_1/35/76/85/01/9/LO1357685018_1357685019_1.jpg/dims/resizemc/360x360,라코스테,긴팔 폴로티셔츠,"54,630원"
https://www.lotteon.com/p/product/PD4486858?mall_no=1&dp_infw_cd=CASec10200001,LE1205392617,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F39%2F26%2F17%2FDSCRP_LE1205392617,https://contents.lotteon.com/itemimage/_v013607/LE/12/05/39/26/17/_1/22/94/98/77/9/LE1205392617_1229498779_1.jpg/dims/resizemc/360x360,올젠,우븐카라 티셔츠 ZOZ4TT1303-YS,"30,030원"
https://www.lotteon.com/p/product/LE1205609903?sitmNo=LE1205609903_1230743748&mall_no=1&dp_infw_cd=CASec10200001,LE1205609903,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F60%2F99%2F03%2FDSCRP_LE1205609903,https://contents.lotteon.com/itemimage/_v030646/LE/12/05/60/99/03/_1/23/07/43/74/8/LE1205609903_1230743748_1.jpg/dims/resizemc/360x360,지오다노,남 크루넥 긴팔 면티 020501,"7,500원"
